# Stock Market Information for MSFT
# Open,High,Low,Volume,Close
108.3800,109.4500,104.3000,45044937,104.8200
105.8200,109.2400,105.0000,49107431,109.1900
111.9400,112.6373,108.2115,45196984,108.5200
113.0000,113.4200,110.7300,34732772,112.0900
110.7000,110.9700,109.3600,33665624,110.8900
110.3300,111.1150,109.0300,28123195,110.1900
107.8900,111.3300,107.8600,46788461,111.1200
106.2700,107.3300,105.3600,29124486,107.1400
104.7900,106.6300,104.5800,32336165,106.4700
102.1700,103.8099,102.0000,13823099,103.0700
103.6000,104.4300,102.2400,28130621,103.1100
101.8000,102.9700,99.3528,64052457,101.7100
108.2700,108.5600,103.5500,44773899,104.6200
107.0800,108.8800,106.8000,33502121,108.2900
104.9900,107.8000,103.9100,38505165,107.2800
108.1000,108.2600,104.4700,39495141,104.9700
107.5500,108.7400,106.6400,35374583,106.9400
109.4200,109.9600,106.1000,33621807,106.8700
110.8500,111.4500,108.7600,32039223,109.5700
111.8000,112.2100,110.9100,25644105,111.7500
109.4400,112.2400,109.4000,37901704,111.9600
107.3800,108.8400,106.2800,24340248,107.7200
106.3700,107.7400,105.9000,27922144,107.5100
106.4800,107.3200,104.9750,37680194,106.1600
107.0500,107.3200,105.5300,33384201,105.9200
105.4350,108.1400,105.3900,51062383,106.8100
103.6600,104.3800,100.1100,65350878,103.7300
108.1050,108.7000,101.6300,55162001,103.8500
105.6900,108.7500,104.7600,55523104,106.9600
106.5500,109.2700,106.1500,61646819,108.3000
108.4100,108.4900,101.5901,63897759,102.3200
107.7700,108.9700,105.1100,43770429,108.1000
109.3200,110.5400,108.2400,26545607,109.6300
108.9300,110.8600,108.2100,32785475,108.6600
110.1000,110.5300,107.8300,32506192,108.5000
111.6800,111.8100,109.5482,26548243,110.7100
109.5400,111.4100,108.9500,31610164,111.0000
108.9100,109.4800,106.9468,32068103,107.6000
109.0100,111.2400,107.1200,47742109,109.5700
105.3500,108.9300,104.2000,63904282,105.9100
111.2400,111.5000,105.7900,61376300,106.1600
111.1400,113.0800,110.8000,26198594,112.2600
111.6600,112.0300,109.3400,29640588,110.8500
112.6300,113.1700,110.6400,29068859,112.1300
114.6100,114.7588,111.6300,34821717,112.7900
115.4200,116.1800,114.9300,16648018,115.1700
115.3000,115.8400,114.4400,20787239,115.1500
114.7500,115.6800,114.7300,18883079,115.6100
114.1900,114.5700,113.6800,21647811,114.3700
114.7800,114.9100,114.2000,19091299,114.4100
114.4700,115.0550,113.7400,19352025,113.9800
114.8000,115.1000,113.7500,22668014,114.4500
113.0300,114.9000,112.2175,27334460,114.6700
114.0000,115.2900,113.5100,71229698,114.2600
112.2800,113.8000,111.9300,23714512,113.5700
113.0500,113.3200,111.0350,21728429,111.7000
112.1900,113.6950,111.7200,22170934,113.2100
113.6900,113.7000,111.8600,20736516,112.1400
113.3600,113.7300,112.4400,19122349,113.3700
112.1200,113.7250,112.1200,26055620,112.9100
111.4300,111.8500,110.5100,18891064,111.7100
108.9000,111.5900,108.8900,24301774,111.2400
108.8400,109.6400,108.3600,20727906,109.3800
108.2300,108.7248,107.2300,22498646,108.2100
108.2500,108.9900,107.5100,23477624,108.7400
111.0100,111.4200,108.1000,32872352,108.4900
110.8500,111.9550,110.2200,22634641,111.7100
111.6850,112.7770,111.5150,23222713,112.3300
111.6700,112.6100,111.4400,22798702,111.9500
110.4500,112.0300,110.2700,20818044,112.0200
109.9400,110.5000,109.7900,19151528,110.2600
109.2700,109.6400,108.5100,19662331,109.6000
107.6700,108.5600,107.5600,17234020,108.4000
107.1500,108.1800,106.8700,18167723,107.5600
105.8500,107.3400,105.7800,18000639,107.0600
106.9200,107.3500,105.8500,22881861,105.9800
107.5100,107.9000,106.4800,17914201,106.8700
107.3600,107.9000,106.6900,18061512,107.5800
